projID,communty,studyear,HHID,strata,version,recordTypeCD,subRecordCD,subRecordDesc,filterq,person,jobnum,jtitle,SIC,SOC,employr,schedule,earnings,janWork,febWork,marWork,aprWork,mayWork,junWork,julWork,augWork,sepWork,octWork,novWork,decWork,CSISCatCodes,resource,role
316,11,2024,18,0,1,23,0,default,1,2,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,19,0,1,23,0,default,0,1,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,19,0,1,23,0,default,0,2,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,20,0,1,23,0,default,1,1,1,ADMIN ASSISTANT,120,12,CLINIC,2,35000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,20,0,1,23,0,default,1,2,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,21,0,1,23,0,default,1,1,1,PAD BUILDER,50,16,RED DOG,1,11000,0,0,0,0,1,1,1,1,0,0,0,0,-6,910100000,6
316,11,2024,21,0,1,23,0,default,1,2,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,23,0,1,23,0,default,1,1,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,23,0,1,23,0,default,1,2,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,23,0,1,23,0,default,1,3,1,CASHIER,100,11,[?] STORE,1,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,25,0,1,23,0,default,0,1,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,25,0,1,23,0,default,0,3,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,26,0,1,23,0,default,1,1,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,26,0,1,23,0,default,1,2,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,26,0,1,23,0,default,1,3,1,COOK,30,13,SCHOOL,2,-8,1,1,1,1,1,0,0,1,1,1,1,1,-6,910100000,6
316,11,2024,26,0,1,23,0,default,1,4,1,COOK,30,13,SCHOOL,2,-8,1,1,1,1,1,0,0,1,1,1,1,1,-6,910100000,6
316,11,2024,26,0,1,23,0,default,1,5,1,HANDYMAN,120,20,SELF EMPLOYED,4,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,26,0,1,23,0,default,1,6,1,LABEROR,30,20,TRIBE OF AMBLER,2,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,26,0,1,23,0,default,1,10,1,-9,-9,-9,-9,-8,-9,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,27,0,1,23,0,default,1,1,1,MAINTENANCE,120,15,MANIILUQ,1,53000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,27,0,1,23,0,default,1,2,1,CLINIC SUPERVISOR,120,1,CLINIC MAINTENANCE,1,172000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,28,0,1,23,0,default,0,1,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,29,0,1,23,0,default,1,1,1,COOK,30,13,SCHOOL OF AMBLER,2,-8,1,1,1,1,1,0,0,0,1,1,1,1,-6,910100000,6
316,11,2024,29,0,1,23,0,default,1,1,2,HOUSEKEEPING,50,13,RED DOG,2,-8,0,0,0,0,0,1,1,1,0,0,0,0,-6,910100000,6
316,11,2024,29,0,1,23,0,default,1,2,1,OPERATOR,50,16,RED DOG,1,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,29,0,1,23,0,default,1,3,1,STUDENT,-2,-2,STUDENT,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,29,0,1,23,0,default,1,5,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,29,0,1,23,0,default,1,6,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,30,0,1,23,0,default,1,1,1,TEACHER,30,5,SCHOOL OF AMBLER,1,55000,1,1,1,1,1,1,0,1,1,1,1,1,-6,910100000,6
316,11,2024,30,0,1,23,0,default,1,2,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,30,0,1,23,0,default,1,3,1,STUDENT,-2,-2,STUDENT,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,31,0,1,23,0,default,1,1,1,AIRPORT MAINTENANCE,20,15,STAE OF ALASKA,1,48000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,31,0,1,23,0,default,1,2,1,WORKED AT STORE,100,20,KOBUK RIVER LODGE,4,-8,0,0,0,0,1,1,1,1,1,0,0,0,-6,910100000,6
316,11,2024,31,0,1,23,0,default,1,3,1,COMMERCIAL FISHED,40,14,DECKHAND,-8,-8,0,0,0,0,0,1,1,1,0,0,0,0,-6,910100000,6
316,11,2024,31,0,1,23,0,default,1,4,1,HOUSEKEEPING,50,13,RED DOG,-8,-8,0,0,0,0,0,0,1,1,0,0,0,0,-6,910100000,6
316,11,2024,32,0,1,23,0,default,0,1,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,32,0,1,23,0,default,0,3,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,32,0,1,23,0,default,0,4,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,32,0,1,23,0,default,0,5,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,32,0,1,23,0,default,0,6,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,33,0,1,23,0,default,1,1,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,33,0,1,23,0,default,1,3,1,UNKNOWN,-8,-8,UNKNOWN,5,-8,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,33,0,1,23,0,default,1,4,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,33,0,1,23,0,default,1,5,1,MISSING,-9,-9,MISSING,-8,-9,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,34,0,1,23,0,default,1,1,1,HEAVY EQUIPMENT,50,19,RED DOG,3,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,34,0,1,23,0,default,1,2,1,ADMIN ASSISTANT,120,12,MANIILAQ,2,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,36,0,1,23,0,default,0,1,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,36,0,1,23,0,default,0,3,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,36,0,1,23,0,default,0,4,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,36,0,1,23,0,default,0,5,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,37,0,1,23,0,default,1,1,1,HEALTH AIDE,120,13,CLINIC,2,60000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,37,0,1,23,0,default,1,1,2,MEDICAL ASSISTANT,50,13,RED DOG,1,22000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,37,0,1,23,0,default,1,2,1,POWER PLANT OPERATOR,80,17,AVEC,1,32000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,37,0,1,23,0,default,1,3,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,37,0,1,23,0,default,1,4,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,42,0,1,23,0,default,1,1,1,"LABORER, WATER SEWER",30,20,CITY OFFICE,1,-8,0,0,0,0,1,1,1,1,0,0,0,0,-6,910100000,6
316,11,2024,42,0,1,23,0,default,1,3,1,-8,50,-8,RED DOG,1,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,43,0,1,23,0,default,1,1,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,43,0,1,23,0,default,1,3,1,PLANT MANAGER,80,17,AVEC,3,18000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,43,0,1,23,0,default,1,3,2,FUEL ATTENDANT,30,11,CITY OF AMBLER,2,600,0,0,0,0,0,0,0,0,0,0,1,0,-6,910100000,6
316,11,2024,47,0,1,23,0,default,0,1,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,48,0,1,23,0,default,0,1,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,50,0,1,23,0,default,1,1,1,UNEMPLOYED,0,0,,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,50,0,1,23,0,default,1,2,1,UNEMPLOYED,0,0,,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,50,0,1,23,0,default,1,3,1,HOUSE KEEPING,50,13,RED DOG,3,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,50,0,1,23,0,default,1,4,1,KITCHEN AIDE,50,13,RED DOG,3,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,50,0,1,23,0,default,1,7,1,STUDENT,-2,-2,STUDENT,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,51,0,1,23,0,default,1,1,1,MAINTENANCE,30,15,NWABSD,1,60000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,51,0,1,23,0,default,1,2,1,SCHOOL SECRETARY,30,12,NWSBSB,1,15000,1,1,1,1,0,0,0,1,1,1,1,1,-6,910100000,6
316,11,2024,51,0,1,23,0,default,1,2,2,IT FOR CLINIC,120,3,MANIILNQ,1,7500,1,1,1,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,52,0,1,23,0,default,1,1,1,LABORER,120,20,ANTHC,1,-8,0,0,0,0,1,1,1,1,1,1,0,0,-6,910100000,6
316,11,2024,52,0,1,23,0,default,1,2,1,CITY CLERK,30,12,CITY OF AMBLER,4,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,53,0,1,23,0,default,1,1,1,BOARD MEMBER,120,1,NANA,2,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,53,0,1,23,0,default,1,3,1,STAFF MEMBER,30,-9,SCHOOL OF AMBLER,1,-8,1,1,1,1,1,0,0,0,1,1,1,1,-6,910100000,6
316,11,2024,53,0,1,23,0,default,1,4,1,FUEL ATTENDANT,30,11,CITY OF AMBLER,2,-8,1,1,1,1,1,1,1,0,0,0,0,0,-6,910100000,6
316,11,2024,55,0,1,23,0,default,0,1,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,56,0,1,23,0,default,1,1,1,TRAIL STAKER,30,20,THE BOROUGH,2,2400,1,1,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,59,0,1,23,0,default,1,1,1,ENVIRONMENTAL TECH SCIENCE [?],50,1,RED DOG,1,137000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,59,0,1,23,0,default,1,1,2,SELF EMPLOYED,40,14,GUIDE,2,20000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,60,0,1,23,0,default,1,1,1,TRIBAL CLERK,30,12,TC,1,30000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,60,0,1,23,0,default,1,3,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,60,0,1,23,0,default,1,4,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,61,0,1,23,0,default,1,1,1,AIR AGENT,80,20,BERING RYNA AIR,4,44400,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,61,0,1,23,0,default,1,2,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,61,0,1,23,0,default,1,3,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,61,0,1,23,0,default,1,4,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,63,0,1,23,0,default,0,1,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,63,0,1,23,0,default,0,2,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,64,0,1,23,0,default,1,1,1,TECH/LABORER,50,20,RED DOG,5,70000,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,64,0,1,23,0,default,1,2,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,66,0,1,23,0,default,-7,1,1,-7,-7,-7,-7,-8,-7,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,66,0,1,23,0,default,-7,2,1,-7,-7,-7,-7,-8,-7,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,66,0,1,23,0,default,-7,3,1,-7,-7,-7,-7,-8,-7,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,67,0,1,23,0,default,1,1,1,JANITOR,120,13,NANA,1,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,67,0,1,23,0,default,1,1,2,JANITOR,120,13,MANIILUQ,1,-8,1,1,1,1,1,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,68,0,1,23,0,default,1,1,1,PAD BUILDING,50,16,RED DOG,1,22000,0,0,0,0,1,1,1,1,1,1,0,0,-6,910100000,6
316,11,2024,68,0,1,23,0,default,1,2,1,ADMINISTRATOR,120,1,NANA,1,72000,0,0,0,0,0,1,1,1,1,1,1,1,-6,910100000,6
316,11,2024,68,0,1,23,0,default,1,3,1,-8,50,-8,RED DOG,1,-8,0,0,0,0,1,1,1,1,1,1,1,0,-6,910100000,6
316,11,2024,69,0,1,23,0,default,1,1,1,PRINCIPLE,30,1,SCHOOL OF AMBLER,1,95000,1,1,1,1,1,1,0,1,1,1,1,1,-6,910100000,6
316,11,2024,70,0,1,23,0,default,1,1,1,TEACHER,30,5,SCHOOL OF AMBLER,1,84000,1,1,1,1,1,1,0,1,1,1,1,1,-6,910100000,6
316,11,2024,72,0,1,23,0,default,1,1,1,TEACHER,30,5,SCHOOL OF AMBLER,1,190000,1,1,1,1,1,1,0,1,1,1,1,1,-6,910100000,6
316,11,2024,73,0,1,23,0,default,1,1,1,TEACHER,30,5,SCHOOL OF AMBLER,1,90000,1,1,1,1,1,1,0,1,1,1,1,1,-6,910100000,6
316,11,2024,73,0,1,23,0,default,1,2,1,JANITOR,30,13,AMBLER,1,21000,1,1,1,1,1,1,0,1,1,1,1,1,-6,910100000,6
316,11,2024,74,0,1,23,0,default,1,1,1,TEACHER,30,5,SCHOOL OF AMBLER,1,80000,1,1,1,1,1,1,0,1,1,1,1,1,-6,910100000,6
316,11,2024,74,0,1,23,0,default,1,3,1,STUDENT,-2,-2,STUDENT,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,75,0,1,23,0,default,1,1,1,TEACHER,30,5,SCHOOL OF AMBLER,1,-7,1,1,1,1,1,1,0,1,1,1,1,1,-6,910100000,6
316,11,2024,75,0,1,23,0,default,1,2,1,RETIRED,0,0,RETIRED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
316,11,2024,77,0,1,23,0,default,0,1,1,UNEMPLOYED,0,0,UNEMPLOYED,-9,,0,0,0,0,0,0,0,0,0,0,0,0,-6,910100000,6
